+----------------------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+
|              Metric              |          P1          |           P2          |           P3          |           P4          |           P5           |           P6           |           P7          |          P8          |           P9           |          P10           |          P11          |          P12          |          P13          |          P14          |          P15          |          P16           |
|          Max Confidence          |         0.8          |   0.7857142857142857  |   0.7692307692307692  |          0.75         |   0.3333333333333333   |   0.5833333333333333   |   0.7272727272727273  |  0.8181818181818181  |   0.6666666666666666   |          0.5           |          1.0          |          1.0          |  0.33333333333333337  |          1.0          |          1.0          |   0.6666666666666666   |
|            Odds Ratio            |  4.407643312101911   |   4.014767932489451   |   3.6268343815513635  |        3.24375        |   1.1485148514851484   |   1.4777777777777776   |   2.865424430641822   |       4.89375        |   2.109090909090909    |   2.3235294117647056   |          inf          |          inf          |   1.9705882352941178  |          inf          |          inf          |   2.0958083832335332   |
|   Phi Correlation Coefficient    | 0.13227347130587513  |   0.1217179215764996  |   0.1105886780837515  |  0.09878779169448997  |  0.011958266722236256  |  0.03549756303228191   |  0.08618973169637921  | 0.11919245914948778  |  0.047055015941666715  |  0.05656910120485527   |  0.12375379485228363  |  0.12375379485228363  |  0.05162972796124792  |  0.09557857603036855  |  0.09557857603036855  |  0.03312666555598001   |
|          Ralambondrainy          | 0.008695652173913044 |  0.008695652173913044 |  0.008695652173913044 |  0.008695652173913044 |  0.02318840579710145   |  0.014492753623188406  |  0.008695652173913044 | 0.005797101449275362 |  0.005797101449275362  |  0.008695652173913044  |          0.0          |          0.0          |  0.017391304347826087 |          0.0          |          0.0          |  0.002898550724637681  |
| Relative Linkage Disequilibrium  |  0.9999945821775312  |   0.9999939149060462  |   0.9999930601821009  |   0.999991926107738   |   0.999806800618238    |   0.9999625524266028   |   0.9999903489808523  |  0.9999953474522648  |   0.9999841611758743   |   0.9999785297148747   |          1.0          |          1.0          |   0.9999560844934346  |          1.0          |          1.0          |   0.9999841611758743   |
|          Relative Risk           |  1.6815286624203822  |   1.6460216998191681  |   1.6061925495887759  |       1.5609375       |   1.0990099009900989   |   1.199074074074074    |   1.5087521174477698  |  1.7079545454545453  |   1.3696969696969694   |   1.6617647058823528   |   2.073170731707317   |   2.073170731707317   |   1.647058823529412   |   2.060240963855422   |   2.060240963855422   |   1.3652694610778442   |
|        Rule Power Factor         | 0.027826086956521744 |  0.025051759834368532 |  0.022296544035674472 |  0.019565217391304346 |  0.003864734299516908  |  0.01183574879227053   |  0.01686429512516469  | 0.02134387351778656  |  0.007729468599033816  |  0.004347826086956522  |  0.014492753623188406 |  0.014492753623188406 | 0.0028985507246376816 |  0.008695652173913044 |  0.008695652173913044 |  0.003864734299516908  |
|         Sebag-Schoenauer         |         4.0          |   3.6666666666666665  |   3.3333333333333335  |          3.0          |          0.5           |          1.4           |   2.6666666666666665  |         4.5          |          2.0           |          1.0           |          inf          |          inf          |          0.5          |          inf          |          inf          |          2.0           |
|              Yule Q              |  0.6301531213191991  |   0.6011779554059739  |   0.5677390122338016  |   0.5287187039764358  |  0.06912442396313359   |   0.1928251121076233   |  0.48259239421531874  |  0.6606574761399788  |  0.35672514619883045   |  0.39823008849557523   |          1.0          |          1.0          |  0.32673267326732675  |          1.0          |          1.0          |   0.3539651837524178   |
|              Yule Y              |  0.3547218953670447  |  0.33415201157138474  |   0.3113955306159901  |  0.28597984139695815  |  0.034603597082871175  |  0.09732580591335746   |   0.257266659574104   | 0.37737030853912346  |  0.18442943636513343   |  0.20770515202667758   |          1.0          |          1.0          |  0.16797586332564277  |          1.0          |          1.0          |  0.18290329972970878   |
