names,values,assay_name
Fatty acyl-CoA reductase,44506,C1-S22-B1.1-R1
A1U2T0,2045,C1-S22-B1.1-R1
A1U3L3,0,C1-S22-B1.1-R1
AHR_ECOLI,170458,C1-S22-B1.1-R2
LCFA_ECOLI,586476,C1-S22-B1.1-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",291542,C1-S22-B1.1-R2
Fatty acyl-CoA reductase,37032,C1-S22-B1.1-R2
A1U2T0,2344,C1-S22-B1.1-R2
A1U3L3,0,C1-S22-B1.1-R2
AHR_ECOLI,169309,C1-S23-B1.3-R1
LCFA_ECOLI,405930,C1-S23-B1.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",230019,C1-S23-B1.3-R1
Fatty acyl-CoA reductase,35029,C1-S23-B1.3-R1
A1U2T0,0,C1-S23-B1.3-R1
A1U3L3,0,C1-S23-B1.3-R1
AHR_ECOLI,168464,C1-S23-B1.3-R2
LCFA_ECOLI,431874,C1-S23-B1.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",230643,C1-S23-B1.3-R2
Fatty acyl-CoA reductase,38909,C1-S23-B1.3-R2
A1U2T0,1876,C1-S23-B1.3-R2
A1U3L3,0,C1-S23-B1.3-R2
AHR_ECOLI,156819,C1-S23-B1.3-R3
LCFA_ECOLI,420505,C1-S23-B1.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",229566,C1-S23-B1.3-R3
Fatty acyl-CoA reductase,35462,C1-S23-B1.3-R3
A1U2T0,1938,C1-S23-B1.3-R3
A1U3L3,0,C1-S23-B1.3-R3
AHR_ECOLI,199457,C1-S24-B1.3-R1
LCFA_ECOLI,836569,C1-S24-B1.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",264403,C1-S24-B1.3-R1
Fatty acyl-CoA reductase,49490,C1-S24-B1.3-R1
A1U2T0,0,C1-S24-B1.3-R1
A1U3L3,0,C1-S24-B1.3-R1
AHR_ECOLI,200666,C1-S24-B1.3-R2
