names,values,assay_name
hexadecan-1-ol,0.65711,C0-S9017-B1.3-R1
octadecan-1-ol,0.41943,C0-S9017-B1.3-R1
tetradecan-1-ol,0.304,C0-S9017-B1.3-R1
dodecan-1-ol,0.02353,C0-S9017-B1.3-R2
hexadecan-1-ol,0.66333,C0-S9017-B1.3-R2
octadecan-1-ol,0.44691,C0-S9017-B1.3-R2
tetradecan-1-ol,0.31671,C0-S9017-B1.3-R2
dodecan-1-ol,0.02368,C0-S9017-B1.3-R3
hexadecan-1-ol,0.65078,C0-S9017-B1.3-R3
octadecan-1-ol,0.43311,C0-S9017-B1.3-R3
tetradecan-1-ol,0.31548,C0-S9017-B1.3-R3
dodecan-1-ol,0.63266,C1-S11-B2.3-R1
hexadecan-1-ol,0.03313,C1-S11-B2.3-R1
octadecan-1-ol,0.05071,C1-S11-B2.3-R1
tetradecan-1-ol,0.04461,C1-S11-B2.3-R1
dodecan-1-ol,0.61611,C1-S11-B2.3-R2
hexadecan-1-ol,0.03219,C1-S11-B2.3-R2
octadecan-1-ol,0.05259,C1-S11-B2.3-R2
tetradecan-1-ol,0.04417,C1-S11-B2.3-R2
dodecan-1-ol,0.66785,C1-S11-B2.3-R3
hexadecan-1-ol,0.03024,C1-S11-B2.3-R3
octadecan-1-ol,0.05256,C1-S11-B2.3-R3
tetradecan-1-ol,0.04725,C1-S11-B2.3-R3
dodecan-1-ol,0.15548,C1-S32-B2.3-R1
hexadecan-1-ol,0.13168,C1-S32-B2.3-R1
octadecan-1-ol,0.17328,C1-S32-B2.3-R1
tetradecan-1-ol,0.10636,C1-S32-B2.3-R1
dodecan-1-ol,0.15131,C1-S32-B2.3-R2
hexadecan-1-ol,0.13126,C1-S32-B2.3-R2
octadecan-1-ol,0.17495,C1-S32-B2.3-R2
tetradecan-1-ol,0.1058,C1-S32-B2.3-R2
dodecan-1-ol,0.13764,C1-S32-B2.3-R3
hexadecan-1-ol,0.12044,C1-S32-B2.3-R3
octadecan-1-ol,0.16247,C1-S32-B2.3-R3
tetradecan-1-ol,0.09913,C1-S32-B2.3-R3
dodecan-1-ol,0,C0-S9017-B2.3-R1
hexadecan-1-ol,0.75034,C0-S9017-B2.3-R1
octadecan-1-ol,0.37241,C0-S9017-B2.3-R1
tetradecan-1-ol,0.3404,C0-S9017-B2.3-R1
