+----------------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3          |           P4           |           P5          |           P6           |           P7           |           P8           |           P9          |          P10          |          P11           |          P12           |          P13           |          P14           |          P15           |          P16          |          P17          |          P18          |         P19          |         P20          |         P21          |          P22           |          P23          |          P24          |
+----------------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1           |           1            |           1           |           1            |           1            |           1            |           1           |           1           |           1            |           1            |           1            |           1            |           1            |           1           |           1           |           1           |          1           |          1           |          1           |           1            |           1           |           1           |
|            J-Measure             |  0.011879718390590412  |  0.03873674741442361   |   0.042588347658876   |  0.019654044846568092  | 0.0002577335374771275 |  0.03510712320470441   |  0.03006944540598282   |  0.02848952512626172   |  0.01801620777602075  |  0.011603455909168742 |  0.020817308357988108  |  0.023186305342193996  | 7.243209032977674e-05  | 0.00041060489762121083 |  0.02387329260829756   | 0.0025981419729071984 |  0.021072087969109744 |  0.021569633813670684 | 0.006476485401075918 | 0.004801786921751622 |  0.0053235434573595  | 0.00024078743682146562 | 0.0023830618010930527 | 0.0069391027859960356 |
|              Kappa               |  0.13936230425759397   |   0.3732928679817907   |  0.31141504471330855  |  0.14330481917506563   | -0.012325390304026388 |   0.2983003815469998   |   0.2570239334027058   |  0.20754716981132046   |  0.13160797624098416  |   0.1213555471412343  |  0.18232436915057448   |  0.21742048047241946   | -0.003569675605729299  | -0.011875920383829713  |  0.18982779335202277   |  0.038487633380620535 |  0.17405232247730903  |  0.19307113796079348  |  0.0476758045292017  | 0.03521662021788714  | 0.04112253403723238  | -0.004084197298146476  |  0.013830195927775756 |  0.06310739328330664  |
|             Klosgen              |   0.0998006472362919   |  0.19167594519240133   |  0.19747035215721315  |  0.13302837931220404   | -0.012450057853063258 |  0.18142980794871977   |   0.1679199711506707   |  0.16058133442637262   |  0.12736497645439662  |  0.10474754288998418  |  0.13971786142111778   |   0.1470714330748608   | -0.006405175915686601  | -0.015712759943895396  |  0.14906726192431374   |  0.04634978496904703  |   0.1403854727474773  |  0.14216905197236548  | 0.07625926159437228  | 0.06557072597303674  |  0.0698163125468305  | -0.011683412217026222  |  0.03962547468874163  |  0.08066614490208118  |
|            Kulczynski            |   0.5382194244604317   |   0.6237132352941177   |   0.6333333333333333  |   0.5618556701030928   |   0.4150197628458498  |   0.6136363636363636   |   0.5970149253731343   |   0.5894736842105263   |   0.5567010309278351  |   0.5023255813953488  |   0.5671641791044776   |   0.5775862068965517   |  0.40693012600229095   |   0.3706103678929766   |         0.575          |  0.44169960474308295  |   0.5666666666666667  |       0.5703125       |  0.5204081632653061  |  0.5151515151515151  |  0.5166666666666667  |   0.3386243386243386   |   0.5097402597402597  |   0.5223880597014925  |
|     Goodman-Kruskal's Lambda     |   0.5285714285714286   |   0.2679425837320575   |  0.30841121495327106  |  0.37610619469026546   |   0.7692307692307693  |  0.22869955156950675   |  0.23999999999999996   |  0.35294117647058826   |  0.37885462555066074  |   0.3362445414847162  |   0.2532751091703057   |   0.2139737991266376   |   0.8095238095238095   |   0.7641921397379913   |   0.3008849557522124   |   0.5633187772925765  |   0.2850877192982456  |  0.24017467248908292  | 0.40170940170940167  | 0.40851063829787243  | 0.37021276595744684  |   0.7923728813559322   |   0.6425531914893617  |   0.2723404255319149  |
|       Least Contradiction        |   0.1726618705035971   |  0.30588235294117644   |  0.26666666666666666  |  0.12371134020618557   |   0.0588235294117647  |  0.22727272727272727   |  0.19402985074626866   |   0.1789473684210526   |  0.11340206185567012  |  0.09302325581395349  |  0.13432835820895522   |  0.15517241379310345   |  0.025773195876288662  |  0.027173913043478257  |          0.15          |  0.05072463768115942  |  0.13333333333333336  |        0.140625       | 0.04081632653061224  | 0.030303030303030304 | 0.03333333333333333  |  0.005291005291005291  |  0.01948051948051948  |  0.04477611940298508  |
|        Lerman Similarity         |   2.153767842183062    |   5.197698666580377    |    4.95401825983388   |   3.214662543968367    |  -0.25203855476623144 |   5.315126805303454    |    4.88249611808941    |   3.921120754315635    |   3.077805061884266   |   2.8336768425349255  |   4.062482332159673    |   4.596119210125319    |  -0.12410217380551276  |  -0.3313377680890153   |   3.9665619175021276   |   1.0381502798666506  |    3.85805570689888   |   4.229529296177873   |  1.8333969940564228  |  1.5684452084102516  |  1.7515099528252585  |  -0.2477201785391794   |   0.7599605956573484  |   2.345475268050486   |
|        Piatetsky-Shapiro         |  0.039121530965327306  |  0.07382953181272509   |  0.06270743591554269  |  0.029870771838147025  | -0.004501800720288121 |   0.0455476308170327   |  0.03924510980862933   |  0.042917166866746695  |  0.027381540851634772 |   0.0226325824447426  |  0.027169691405974153  |  0.028599675164183318  | -0.0014123296377374465 | -0.004413530117929526  |  0.03347221241437752   |  0.011016171174352087 |  0.028776216368900504 |  0.027646352658710543 | 0.009886307464162136 | 0.007361768236706447 | 0.007838429489442836 | -0.0016065249629263478 |  0.004448838358872961 |  0.009056563801991385 |
|          Max Confidence          |         0.875          |        0.90625         |          1.0          |          1.0           |   0.7391304347826086  |          1.0           |          1.0           |          1.0           |          1.0          |   0.8999999999999999  |          1.0           |          1.0           |   0.7777777777777778   |   0.6923076923076923   |          1.0           |   0.8181818181818181  |          1.0          |          1.0          |         1.0          |         1.0          |         1.0          |   0.6666666666666666   |          1.0          |          1.0          |
|            Odds Ratio            |   5.9909909909909915   |   25.892857142857142   |          inf          |          inf           |   0.7499999999999998  |          inf           |          inf           |          inf           |          inf          |   17.649350649350648  |          inf           |          inf           |   0.7860962566844921   |   0.6428571428571428   |          inf           |   3.4186046511627906  |          inf          |          inf          |         inf          |         inf          |         inf          |   0.5133689839572193   |          inf          |          inf          |
